Time,Round,Coverage
01:00:00:01,1,1
01:01:06:37,2005,2
01:01:16:00,2228,3
01:05:40:07,2710,4
01:08:09:11,6201,5
01:08:17:34,6424,6
02:07:14:07,16496,7
03:07:14:07,16496,7
