Time,Round,Coverage
01:00:00:00,0,1
01:00:00:15,35,2
01:00:00:54,72,3
01:00:01:04,109,4
01:00:40:09,1957,5
01:03:21:47,6288,6
01:16:49:59,27248,7
01:16:51:03,27357,8
01:17:30:08,29204,9
04:01:01:15,89586,9
