Time,Round,Coverage
0:0:0:2,1,1
0:0:0:26,4,2
0:0:0:34,5,3
0:0:0:51,7,4
0:0:7:47,58,5
0:0:31:44,218,6
0:0:59:0,379,7
0:1:0:14,388,8
0:1:22:46,529,9
0:1:29:0,567,10
0:4:1:46,1468,11
0:4:39:18,1693,12
0:10:55:1,3929,13
