Time,Round,Coverage
0:0:0:15,0,1
0:0:0:31,0,2
0:3:49:4,2,3
0:3:50:24,3,4
0:3:50:56,3,5
0:3:55:0,3,6
0:13:7:22,4,7
0:13:35:2,13,8
0:13:36:6,13,9
0:13:36:23,13,10
0:21:43:26,14,11
1:8:45:33,17,12
