Time,Round,Coverage
0:0:0:8,0,1
0:0:0:52,0,2
0:0:1:41,0,3
0:0:15:41,0,4
0:0:17:59,12,5
0:0:38:32,18,6
0:0:57:5,26,7
0:1:5:41,35,8
0:1:6:26,35,9
0:2:5:27,66,10
0:2:6:1,66,11
0:2:6:50,66,12
0:2:7:40,66,13
0:2:20:47,66,14
0:6:32:55,118,15
0:7:36:32,126,16
2:0:50:57,342,17
2:6:0:43,360,18
2:6:37:18,363,19
2:6:38:8,363,20
2:19:2:22,615,21
