Time,Round,Coverage
01:00:00:05,0,1
01:00:01:18,1,2
01:00:01:18,4,3
01:00:01:20,72,4
01:00:06:08,1974,5
01:00:18:27,4192,6
01:00:52:53,29207,7
01:01:17:15,44063,8
03:23:30:23,330539,8
