Time,Round,Coverage
01:00:00:03,1,1
01:00:00:03,2,2
01:00:00:04,3,3
01:00:00:04,4,4
01:00:02:49,260,5
01:00:58:06,396,6
01:19:53:23,1571,7
02:22:20:30,12229,8
02:22:20:30,12230,9
02:22:20:31,12231,10
02:22:20:34,12237,11
02:22:20:53,13956,12
02:22:21:55,13960,13
02:22:23:17,15404,14
02:22:26:53,15701,15
02:22:29:43,46561,16
02:22:30:27,46567,17
02:22:39:16,55146,18
02:22:43:00,56781,19
03:00:20:00,56781,19
