Time,Round,Coverage
0:0:0:4,0,1
0:0:0:12,0,2
0:0:0:27,0,3
0:0:5:21,0,4
0:0:9:24,0,5
0:0:17:23,3,6
0:0:19:23,3,7
0:1:2:40,10,8
0:3:46:15,28,9
0:6:6:14,55,10
1:6:43:37,364,11
1:10:19:30,407,12
2:3:3:23,607,13
2:4:37:47,625,14
