Time,Round,Coverage
01:00:00:00,0,1
01:00:00:01,49,2
01:00:00:02,72,3
01:00:00:15,229,4
01:00:05:29,1956,5
01:00:05:29,1957,6
01:00:15:14,3913,7
01:02:09:46,29204,8
01:03:21:41,41437,9
01:04:20:14,49703,9
01:08:40:54,53625,10
03:02:57:26,332864,10
05:03:05:58,402205,10
