Time,Round,Coverage
0:0:0:2,1,1
0:0:0:14,2,2
0:0:0:25,3,3
0:0:5:9,28,4
0:0:40:26,195,5
0:2:6:2,589,6
0:2:35:3,732,7
0:3:12:0,910,8
0:3:41:54,1047,9
0:3:43:27,1053,10
0:17:7:46,1909,11
