Time,Round,Coverage
0:0:0:14,0,1
0:0:1:28,0,2
0:0:2:36,0,3
0:0:21:51,0,4
0:0:27:18,18,5
0:0:55:42,46,6
0:2:11:16,66,7
0:2:25:43,71,8
0:12:26:42,111,9
0:21:55:0,156,10
0:21:56:26,156,11
0:21:57:33,156,12
0:22:16:41,156,13
0:22:57:39,165,14
0:22:58:46,165,15
1:2:8:59,201,16
1:3:42:38,225,17
1:5:56:36,345,18
1:5:57:44,345,19
1:10:18:56,381,20
1:10:20:52,381,21
1:17:37:18,543,22
1:17:39:14,543,23
