Time,Round,Coverage
00:00:00:13,1,1
00:00:01:06,11,2
00:02:41:21,1874,3
01:01:46:58,17949,4
01:06:34:26,21288,5
01:13:24:56,26049,6
01:15:42:17,27642,7
01:17:47:05,29095,8
01:17:47:11,29095,9
01:17:47:16,29096,10
02:00:10:16,32731,10
