Time,Round,Coverage
00:00:00:00,0,1
00:00:02:46,109,2
00:00:48:34,1942,3
00:01:50:40,18199,4
00:16:18:13,30563,5
00:17:46:21,32530,6
00:17:47:39,32639,7
00:18:36:12,34487,8
00:21:18:45,38818,9
01:11:02:10,59778,10
01:11:03:29,59887,11
