Time,Round,Coverage
0:0:0:2,1,1
0:0:0:26,4,2
0:0:12:56,94,3
0:0:20:23,140,4
0:1:19:51,539,5
0:1:33:12,627,6
0:1:50:2,741,7
0:2:34:40,1041,8
0:16:17:2,5607,9
0:20:1:7,6706,10
1:18:41:17,12714,11
1:22:50:16,13795,12
