Time,Round,Coverage
01:00:00:13,1,1
01:00:01:06,11,2
01:02:41:21,1874,3
02:01:46:58,17949,4
02:06:34:26,21288,5
02:13:24:56,26049,6
02:15:42:17,27642,7
02:17:47:05,29095,8
02:17:47:11,29095,9
02:17:47:16,29096,10
03:00:10:16,32731,10
