Time,Round,Coverage
00:00:00:00,1,1
00:00:35:48,2005,2
00:00:42:12,2362,3
00:00:45:52,2558,4
00:00:46:32,2561,5
00:04:42:45,6288,6
00:04:46:37,6512,7
00:04:47:16,6549,8
00:04:47:32,6550,9
00:04:54:56,6907,10
00:06:54:25,1078,11
00:18:32:22,16496,12
01:07:18:13,28499,13
