Time,Round,Coverage
0:0:0:15,0,1
0:0:0:31,0,2
0:0:0:57,0,3
0:0:3:9,0,4
0:2:3:41,0,5
0:2:13:24,0,6
0:21:37:3,0,7
1:0:41:47,0,8
1:21:50:13,0,9
1:23:15:41,0,10
