Time,Round,Coverage
01:00:00:06,1,1
01:00:00:16,3,2
01:00:00:21,4,3
01:17:06:54,12229,4
02:01:07:59,14144,5
02:01:08:11,14145,6
02:01:09:35,14158,7
02:01:10:44,14163,8
02:01:10:59,14164,9
02:04:36:44,15221,10
02:04:37:04,15222,11
02:04:39:02,15229,12
02:05:55:37,15532,13
02:05:55:52,15533,14
02:06:38:09,15703,15
