Time,Round,Coverage
01:00:00:00,0,1
01:00:00:00,8,2
01:00:00:05,111,3
01:00:02:07,1771,4
01:00:02:25,1961,5
01:00:04:10,2137,6
01:00:21:04,3912,7
01:01:19:46,29262,8
03:12:00:00,304608,8
