Time,Round,Coverage
01:00:00:05,1,1
01:00:00:06,2,2
01:04:57:13,16351,3
01:04:59:12,16491,4
01:04:59:15,16493,5
01:07:06:27,22863,6
01:08:28:39,27358,7
01:08:35:55,27746,8
01:09:03:02,29115,9
01:18:32:19,45929,10
01:18:56:32,49295,11
03:18:56:32,49295,11
