Time,Round,Coverage
00:00:00:01,3,1
00:00:17:37,909,2
00:02:18:08,4634,3
00:06:03:43,12231,4
00:06:51:40,13956,5
00:06:52:24,13960,6
00:07:05:36,14034,7
00:07:20:59,14504,8
00:07:53:05,15404,9
00:14:30:51,45119,10
00:15:32:00,46567,11
00:22:20:56,73493,12
01:23:45:07,83334,13
